"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestResources_SearchAssetGroupTags","1","TestResources_SearchAssetGroupTags","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_SearchAssetGroupTags","TestResources_SearchAssetGroupTags"
"","400","does fires TagToLabelDialog when the Label option is clicked","TagToZoneLabel","Tue Dec 23 00:56:03 UTC 2025","passed","Tue Dec 23 00:56:03 UTC 2025","","","",""
"Test cases for FuzzFoldr","0","FuzzFoldr","","Tue Dec 23 00:55:13 UTC 2025","passed","Tue Dec 23 00:55:13 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/FuzzFoldr","FuzzFoldr"
"","542","should render","LoginViaSSOForm","Tue Dec 23 00:58:22 UTC 2025","passed","Tue Dec 23 00:58:22 UTC 2025","","","",""
"","71","displays ! icon when one of the Affected Object calls fail","EntityInfoDataTableGraphed","Tue Dec 23 00:57:02 UTC 2025","passed","Tue Dec 23 00:57:02 UTC 2025","","Node count for nested table that counts all sections","",""
"","55","initializes search tab to the exploreSearchTab on initial render","ExploreSearch sets searchType on tab changing","Tue Dec 23 01:00:25 UTC 2025","passed","Tue Dec 23 01:00:25 UTC 2025","","","",""
"Test cases for TestArgon2Digest_String","0","TestArgon2Digest_String","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/crypto/TestArgon2Digest_String","TestArgon2Digest_String"
"Test cases for TestGenericMap","0","TestGenericMap","","Tue Dec 23 00:55:07 UTC 2025","passed","Tue Dec 23 00:55:07 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGenericMap","TestGenericMap"
"Test cases for TestNormalizeToUTF8","0","TestNormalizeToUTF8","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestNormalizeToUTF8","TestNormalizeToUTF8"
"","3","returns graphData as is if it doesnt match the GraphResponse interface","normalizeGraphDataForSigma","Tue Dec 23 01:01:00 UTC 2025","passed","Tue Dec 23 01:01:00 UTC 2025","","","",""
"Test cases for TestResources_GetCollectorManifest","1","TestResources_GetCollectorManifest","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetCollectorManifest","TestResources_GetCollectorManifest"
"Test cases for TestValidateRequestSignature","403","TestValidateRequestSignature","","Tue Dec 23 00:54:48 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestValidateRequestSignature","TestValidateRequestSignature"
"Test cases for TestManagementResource_ListPermissions_SortingError","0","TestManagementResource_ListPermissions_SortingError","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_SortingError","TestManagementResource_ListPermissions_SortingError"
"","446","filters by the selected date range","FileIngestFilterDialog","Tue Dec 23 00:56:33 UTC 2025","passed","Tue Dec 23 00:56:33 UTC 2025","","Date Range Inputs","",""
"Test cases for TestResources_GetAssetGroupTags","3","TestResources_GetAssetGroupTags","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupTags","TestResources_GetAssetGroupTags"
"","167","shows a table with finished jobs","FileIngestTable","Tue Dec 23 00:59:02 UTC 2025","passed","Tue Dec 23 00:59:02 UTC 2025","","","",""
"Test cases for Test_GetApplicationConfigurations","0","Test_GetApplicationConfigurations","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_GetApplicationConfigurations","Test_GetApplicationConfigurations"
"Test cases for TestManagementResource_EnrollMFA","2283","TestManagementResource_EnrollMFA","","Tue Dec 23 00:55:20 UTC 2025","passed","Tue Dec 23 00:55:22 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_EnrollMFA","TestManagementResource_EnrollMFA"
"","2","returns true if value is undefined","searchParams","Tue Dec 23 00:58:27 UTC 2025","passed","Tue Dec 23 00:58:27 UTC 2025","","isEmptyParam","",""
"","220","sums nested section node counts","EntityInfoDataTable","Tue Dec 23 00:57:02 UTC 2025","passed","Tue Dec 23 00:57:02 UTC 2025","","Node count for nested table that counts all sections","",""
"","357","Should call handler when a member is clicked","AssetGroupMemberList","Tue Dec 23 00:59:08 UTC 2025","passed","Tue Dec 23 00:59:08 UTC 2025","","","",""
"","8","displays lastlogon cell as NEVER when the value is -1","ExploreTableDataCell","Tue Dec 23 00:59:10 UTC 2025","passed","Tue Dec 23 00:59:10 UTC 2025","","","",""
"Test cases for TestCreateUser_Success","826","TestCreateUser_Success","","Tue Dec 23 00:55:02 UTC 2025","passed","Tue Dec 23 00:55:03 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestCreateUser_Success","TestCreateUser_Success"
"","1942","shows the ""Disable MFA"" context menu option for users with MFA enabled","Users","Tue Dec 23 00:57:15 UTC 2025","passed","Tue Dec 23 00:57:17 UTC 2025","","","",""
"Test cases for TestCreateAssetGroupRequest_AuditData","0","TestCreateAssetGroupRequest_AuditData","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestCreateAssetGroupRequest_AuditData","TestCreateAssetGroupRequest_AuditData"
"Test cases for TestIsErrorResponse","0","TestIsErrorResponse","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestIsErrorResponse","TestIsErrorResponse"
"","50","sets autoDisplayTable to false if enabled param is false","useExploreTableAutoDisplay","Tue Dec 23 00:58:52 UTC 2025","passed","Tue Dec 23 00:58:52 UTC 2025","","","",""
"Test cases for TestParseKind","1","TestParseKind","","Tue Dec 23 00:55:09 UTC 2025","passed","Tue Dec 23 00:55:09 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/TestParseKind","TestParseKind"
"Test cases for TestManagementResource_UpdateUser_UserSelfModify","694","TestManagementResource_UpdateUser_UserSelfModify","","Tue Dec 23 00:55:13 UTC 2025","passed","Tue Dec 23 00:55:14 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_UserSelfModify","TestManagementResource_UpdateUser_UserSelfModify"
"","372","should call onClose when cancel button is clicked","SaveQueryDialog","Tue Dec 23 00:55:54 UTC 2025","passed","Tue Dec 23 00:55:54 UTC 2025","","","",""
"","226","toggles parent from none to all","SourceKindsCheckboxes","Tue Dec 23 00:57:24 UTC 2025","passed","Tue Dec 23 00:57:24 UTC 2025","","","",""
"Test cases for TestManagementResource_ListAuthTokens_Admin","0","TestManagementResource_ListAuthTokens_Admin","","Tue Dec 23 00:55:20 UTC 2025","passed","Tue Dec 23 00:55:20 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_Admin","TestManagementResource_ListAuthTokens_Admin"
"Test cases for TestManagementResource_ListUsers_InvalidColumn","0","TestManagementResource_ListUsers_InvalidColumn","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListUsers_InvalidColumn","TestManagementResource_ListUsers_InvalidColumn"
"Test cases for TestManagementResource_ListRoles_InvalidColumn","0","TestManagementResource_ListRoles_InvalidColumn","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_InvalidColumn","TestManagementResource_ListRoles_InvalidColumn"
"","1","will return a list of values","Formatting list properties","Tue Dec 23 00:57:05 UTC 2025","passed","Tue Dec 23 00:57:05 UTC 2025","","","",""
"Test cases for TestParseVersion","0","TestParseVersion","","Tue Dec 23 00:55:08 UTC 2025","passed","Tue Dec 23 00:55:08 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/version/TestParseVersion","TestParseVersion"
"Test cases for TestManagementResource_EnableUserSAML","0","TestManagementResource_EnableUserSAML","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_EnableUserSAML","TestManagementResource_EnableUserSAML"
"Test cases for TestConvertDomainToNode_InheritanceHashes","0","TestConvertDomainToNode_InheritanceHashes","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertDomainToNode_InheritanceHashes","TestConvertDomainToNode_InheritanceHashes"
"","0","Will parse an incorrectly cased type and return/use the correct casing for the data fetching","Parsing the debounced input for type and keyword values","Tue Dec 23 00:57:57 UTC 2025","passed","Tue Dec 23 00:57:57 UTC 2025","","","",""
"Test cases for Test_filterNodesToSearchResult","0","Test_filterNodesToSearchResult","","Tue Dec 23 00:55:02 UTC 2025","passed","Tue Dec 23 00:55:02 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_filterNodesToSearchResult","Test_filterNodesToSearchResult"
"","637","should render a SaveQueryDialog","SaveQueryDialog","Tue Dec 23 00:55:52 UTC 2025","passed","Tue Dec 23 00:55:53 UTC 2025","","","",""
"","1","floors DateTime objects to the nearest minute","floorToNearestMinute","Tue Dec 23 00:59:10 UTC 2025","passed","Tue Dec 23 00:59:10 UTC 2025","","","",""
"Test cases for TestDefineSID","0","TestDefineSID","","Tue Dec 23 00:55:10 UTC 2025","passed","Tue Dec 23 00:55:10 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestDefineSID","TestDefineSID"
"Test cases for TestResources_RequestAnalysis","91","TestResources_RequestAnalysis","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_RequestAnalysis","TestResources_RequestAnalysis"
"","684","should display all available roles","UpdateUserDialog","Tue Dec 23 00:56:22 UTC 2025","passed","Tue Dec 23 00:56:23 UTC 2025","","","",""
"Test cases for TestFloatInfNaN","0","TestFloatInfNaN","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatInfNaN","TestFloatInfNaN"
"Test cases for TestInt64SetValid","0","TestInt64SetValid","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64SetValid","TestInt64SetValid"
"","164","renders the form for editing an existing label","Tag Form","Tue Dec 23 00:55:53 UTC 2025","passed","Tue Dec 23 00:55:53 UTC 2025","","","",""
"","4","should recognize active directory properties","validating a node property against the shared generated schema","Tue Dec 23 00:57:05 UTC 2025","passed","Tue Dec 23 00:57:05 UTC 2025","","","",""
"","157","renders details for a selected rule and is of type ""Cypher""","DynamicDetails","Tue Dec 23 00:57:34 UTC 2025","passed","Tue Dec 23 00:57:34 UTC 2025","","","",""
"Test cases for TestOrphanFileSweeper_Clear","1","TestOrphanFileSweeper_Clear","","Tue Dec 23 00:54:58 UTC 2025","passed","Tue Dec 23 00:54:58 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/datapipe/TestOrphanFileSweeper_Clear","TestOrphanFileSweeper_Clear"
"","5","displays a pulsing indicator","StatusIndicator","Tue Dec 23 00:59:42 UTC 2025","passed","Tue Dec 23 00:59:42 UTC 2025","","","",""
"","4","uses sequentialLayout by default","Explore utils","Tue Dec 23 01:00:53 UTC 2025","passed","Tue Dec 23 01:00:53 UTC 2025","","initGraph","",""
"Test cases for TestNewSIDSuffix","0","TestNewSIDSuffix","","Tue Dec 23 00:55:10 UTC 2025","passed","Tue Dec 23 00:55:10 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestNewSIDSuffix","TestNewSIDSuffix"
"Test cases for TestResources_GetShortestPath","1","TestResources_GetShortestPath","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetShortestPath","TestResources_GetShortestPath"
"","173","displays the label for each result","SearchCurrentNodes","Tue Dec 23 00:58:16 UTC 2025","passed","Tue Dec 23 00:58:16 UTC 2025","","","",""
"Test cases for TestURLJoinPathEscapesSlashes","0","TestURLJoinPathEscapesSlashes","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestURLJoinPathEscapesSlashes","TestURLJoinPathEscapesSlashes"
"Test cases for TestResources_UpdateAssetGroupTagSelector","10","TestResources_UpdateAssetGroupTagSelector","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupTagSelector","TestResources_UpdateAssetGroupTagSelector"
"Test cases for TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","0","TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError"
"","0","The user has yet to type into the search (for OU and Domain searches that have hard coded types)","Getting the text for the disabled item display for a search when there are no results","Tue Dec 23 00:57:57 UTC 2025","passed","Tue Dec 23 00:57:57 UTC 2025","","Empty data states","",""
"","0","returns null if paramValue is not an EnvironmentAggregation","useEnvironmentParams","Tue Dec 23 00:59:50 UTC 2025","passed","Tue Dec 23 00:59:50 UTC 2025","","parseEnvironmentAggregation","",""
"Test cases for TestInt64IsZero","0","TestInt64IsZero","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64IsZero","TestInt64IsZero"
"","85","collapses an open item when its header is clicked again","<DetailsAccordion />","Tue Dec 23 00:56:39 UTC 2025","passed","Tue Dec 23 00:56:39 UTC 2025","","","",""
"Test cases for TestURLJoinPathNoPrefix","0","TestURLJoinPathNoPrefix","","Tue Dec 23 00:54:49 UTC 2025","passed","Tue Dec 23 00:54:49 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestURLJoinPathNoPrefix","TestURLJoinPathNoPrefix"
"","1128","renders","Privilege Zones History Filter Dialog","Tue Dec 23 00:57:34 UTC 2025","passed","Tue Dec 23 00:57:35 UTC 2025","","","",""
"","261","a name value is required to submit the form","Rule Form","Tue Dec 23 00:56:11 UTC 2025","passed","Tue Dec 23 00:56:11 UTC 2025","","","",""
"","2","returns numbers as strings","numberFormatting","Tue Dec 23 00:59:37 UTC 2025","passed","Tue Dec 23 00:59:37 UTC 2025","","","",""
"Test cases for TestResources_UpdateSavedQuery_InvalidID","0","TestResources_UpdateSavedQuery_InvalidID","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_InvalidID","TestResources_UpdateSavedQuery_InvalidID"
"","41","renders highlight for the active tag","SelectedHighlight","Tue Dec 23 00:58:59 UTC 2025","passed","Tue Dec 23 00:58:59 UTC 2025","","","",""
"Test cases for TestManagementResource_ListSAMLProviders","5","TestManagementResource_ListSAMLProviders","","Tue Dec 23 00:55:29 UTC 2025","passed","Tue Dec 23 00:55:29 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListSAMLProviders","TestManagementResource_ListSAMLProviders"
"","1216","handles object selection when a zone is already selected","Details","Tue Dec 23 00:57:03 UTC 2025","passed","Tue Dec 23 00:57:04 UTC 2025","","","",""
"Test cases for TestFloatSetValid","0","TestFloatSetValid","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatSetValid","TestFloatSetValid"
"","269","renders with applied filters","Privilege Zones History Filter Dialog","Tue Dec 23 00:57:35 UTC 2025","passed","Tue Dec 23 00:57:36 UTC 2025","","","",""
"","6","fully replaces state","useObjectState","Tue Dec 23 00:59:17 UTC 2025","passed","Tue Dec 23 00:59:17 UTC 2025","","","",""
"Test cases for TestIngestJobs_ValidFilters","0","TestIngestJobs_ValidFilters","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestIngestJobs_ValidFilters","TestIngestJobs_ValidFilters"
"","7","returns when label limit is reached","useTagLimits","Tue Dec 23 00:56:18 UTC 2025","passed","Tue Dec 23 00:56:18 UTC 2025","","","",""
"Test cases for TestManagementResource_UpdateUser_Success","686","TestManagementResource_UpdateUser_Success","","Tue Dec 23 00:55:17 UTC 2025","passed","Tue Dec 23 00:55:18 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_Success","TestManagementResource_UpdateUser_Success"
"Test cases for TestTypes_Scan_InvalidInput","0","TestTypes_Scan_InvalidInput","","Tue Dec 23 00:55:00 UTC 2025","passed","Tue Dec 23 00:55:00 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/TestTypes_Scan_InvalidInput","TestTypes_Scan_InvalidInput"
"","0","returns disabled if relationshipQueryItemId does not have a matching sourceId, edgeType, targetId","useExploreGraph","Tue Dec 23 00:57:24 UTC 2025","passed","Tue Dec 23 00:57:24 UTC 2025","composition search queries","exploreGraphQueryFactory","",""
"Test cases for TestResources_GetPermissionsForSavedQuery","44","TestResources_GetPermissionsForSavedQuery","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetPermissionsForSavedQuery","TestResources_GetPermissionsForSavedQuery"
"","2","prevents Sigma defaults events","preventAllDefaults","Tue Dec 23 01:01:05 UTC 2025","passed","Tue Dec 23 01:01:05 UTC 2025","","","",""
"Test cases for TestGetOrderForNeo4jQuery","0","TestGetOrderForNeo4jQuery","","Tue Dec 23 00:55:07 UTC 2025","passed","Tue Dec 23 00:55:07 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetOrderForNeo4jQuery","TestGetOrderForNeo4jQuery"
"Test cases for TestManagementResource_ListAuthTokens_NonAdmin","0","TestManagementResource_ListAuthTokens_NonAdmin","","Tue Dec 23 00:55:20 UTC 2025","passed","Tue Dec 23 00:55:20 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_NonAdmin","TestManagementResource_ListAuthTokens_NonAdmin"
"","298","calls openOIDCProviderDialog when OIDC Provider menu item is clicked","CreateMenu","Tue Dec 23 00:56:54 UTC 2025","passed","Tue Dec 23 00:56:54 UTC 2025","","oidc_support feature flag enabled","",""
"","204","calls onToggleEdgeLabels when click show all edge labels","GraphControls","Tue Dec 23 00:56:30 UTC 2025","passed","Tue Dec 23 00:56:30 UTC 2025","","Toggling labels","",""
"","6","does not render when selector is default","Delete Selector Button rendering","Tue Dec 23 00:59:32 UTC 2025","passed","Tue Dec 23 00:59:32 UTC 2025","","","",""
"Test cases for TestParseAGMembersFromNodes_","0","TestParseAGMembersFromNodes_","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseAGMembersFromNodes_","TestParseAGMembersFromNodes_"
"Test cases for TestManagementResource_ListRoles_DBError","0","TestManagementResource_ListRoles_DBError","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_DBError","TestManagementResource_ListRoles_DBError"
"","8","does not request finished jobs if lacking permission","useFinishedJobs","Tue Dec 23 00:57:28 UTC 2025","passed","Tue Dec 23 00:57:28 UTC 2025","","","",""
"","0","shows no collection methods","toCollected","Tue Dec 23 00:59:29 UTC 2025","passed","Tue Dec 23 00:59:29 UTC 2025","","","",""
"Test cases for TestDummyHA","0","TestDummyHA","","Tue Dec 23 00:54:58 UTC 2025","passed","Tue Dec 23 00:54:58 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestDummyHA","TestDummyHA"
"Test cases for TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","0","TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors"
"TestManifest_AddMigration tests that migrations are added to the correct locationwithin the migration map and in the correct order.","1","TestManifest_AddMigration","","Tue Dec 23 00:54:59 UTC 2025","passed","Tue Dec 23 00:54:59 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestManifest_AddMigration","TestManifest_AddMigration"
"Test cases for TestArgon2Digest_Validate","3","TestArgon2Digest_Validate","","Tue Dec 23 00:55:11 UTC 2025","passed","Tue Dec 23 00:55:11 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/crypto/TestArgon2Digest_Validate","TestArgon2Digest_Validate"
"","17","upon selecting a source and destination node, updates the URL with a searchType of 'pathfinding' and the object ids for the source and destination nodes","usePathfindingSearch","Tue Dec 23 00:57:41 UTC 2025","passed","Tue Dec 23 00:57:41 UTC 2025","","","",""
"","20","dedupes edges before adding them to the graph","Explore utils","Tue Dec 23 01:00:53 UTC 2025","passed","Tue Dec 23 01:00:53 UTC 2025","","initGraph","",""
"Test cases for TestResources_CreateSavedQuery","0","TestResources_CreateSavedQuery","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery","TestResources_CreateSavedQuery"
"Test cases for TestResources_GetFlags","0","TestResources_GetFlags","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetFlags","TestResources_GetFlags"
"","57","button is disabled when note is falsy","NoteCell component","Tue Dec 23 00:58:36 UTC 2025","passed","Tue Dec 23 00:58:36 UTC 2025","","","",""
"","0","pwdlastset","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Tue Dec 23 00:57:04 UTC 2025","passed","Tue Dec 23 00:57:04 UTC 2025","","","",""
"Test cases for TestManagementResource_ListRoles_PredicateMismatchWithColumn","0","TestManagementResource_ListRoles_PredicateMismatchWithColumn","","Tue Dec 23 00:55:01 UTC 2025","passed","Tue Dec 23 00:55:01 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_PredicateMismatchWithColumn","TestManagementResource_ListRoles_PredicateMismatchWithColumn"
"Test cases for TestActivateMFA_Success","694","TestActivateMFA_Success","","Tue Dec 23 00:55:29 UTC 2025","passed","Tue Dec 23 00:55:29 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestActivateMFA_Success","TestActivateMFA_Success"
"","300","renders","EarlyAccessFeaturesWarningDialog","Tue Dec 23 01:01:01 UTC 2025","passed","Tue Dec 23 01:01:01 UTC 2025","","","",""
"Test cases for TestResources_StartIngestJob","60","TestResources_StartIngestJob","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_StartIngestJob","TestResources_StartIngestJob"
"Test cases for TestDefineNodeName","1","TestDefineNodeName","","Tue Dec 23 00:55:10 UTC 2025","passed","Tue Dec 23 00:55:10 UTC 2025","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestDefineNodeName","TestDefineNodeName"
"","331","has user filters","FileIngestFilterDialog","Tue Dec 23 00:56:34 UTC 2025","passed","Tue Dec 23 00:56:34 UTC 2025","","User Select","",""
"Test cases for TestFeatureFlagManagerPoller","86","TestFeatureFlagManagerPoller","","Tue Dec 23 00:54:58 UTC 2025","passed","Tue Dec 23 00:54:58 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestFeatureFlagManagerPoller","TestFeatureFlagManagerPoller"
"Test cases for TestGetLatestQueryParameter","0","TestGetLatestQueryParameter","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetLatestQueryParameter","TestGetLatestQueryParameter"
"","201","renders a non-primary button as expected","DropdownSelector","Tue Dec 23 00:58:50 UTC 2025","passed","Tue Dec 23 00:58:50 UTC 2025","","","",""
"","2","shows the collection methods for the given job","toCollected","Tue Dec 23 00:59:29 UTC 2025","passed","Tue Dec 23 00:59:29 UTC 2025","","","",""
"","1940","when user performs a pathfinding search, and then clicks the swap button, the start and destination inputs are swapped","Pathfinding: interaction","Tue Dec 23 00:57:15 UTC 2025","passed","Tue Dec 23 00:57:17 UTC 2025","","","",""
"","365","should render list of available SSO providers","LoginViaSSOForm","Tue Dec 23 00:58:22 UTC 2025","passed","Tue Dec 23 00:58:23 UTC 2025","","","",""
"","451","should display ""Generate/Revoke API Tokens"" title","UserTokenManagementDialog","Tue Dec 23 00:58:31 UTC 2025","passed","Tue Dec 23 00:58:31 UTC 2025","","","",""
"","67","should render oidc info provider","SSOProviderTable","Tue Dec 23 00:58:27 UTC 2025","passed","Tue Dec 23 00:58:28 UTC 2025","","","",""
"","931","opens a submenu when user hovers over `Copy`","ContextMenu","Tue Dec 23 01:00:33 UTC 2025","passed","Tue Dec 23 01:00:33 UTC 2025","","","",""
"Test cases for TestResources_GetCertTemplateEntityInfo","135","TestResources_GetCertTemplateEntityInfo","","Tue Dec 23 00:54:55 UTC 2025","passed","Tue Dec 23 00:54:55 UTC 2025","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetCertTemplateEntityInfo","TestResources_GetCertTemplateEntityInfo"
